y  001  007  003  011  a  Actividades  Diversas actividades  Diversas actividades
y    011  024  012  111  O  Lotes --- Contrato  Lotes --- Contrato  Lotes --- Contrato
y      111  115  112  s_noinst.p  O  Lotes Jugo-Contratos  Lotes Jugo-Contratos  Lotes Jugo-Contratos
y      112  111  113  s_noinst.p  O  Lot.Aceite-Contratos  Lot.Aceite-Contratos  Lot.Aceite-Contratos
y      113  112  114  s_noinst.p  O  Tambores Items OE  Tambores Items OE  Tambores Items OE
y      114  113  115  s_noinst.p  O  Lotes Jugo-ItemOE  Lotes Jugo-ItemOE  Lotes Jugo-ItemOE
y      115  114  111  s_noinst.p  O  LotesAceite-ItemOE  LotesAceite-ItemOE  LotesAceite-ItemOE
y    012  011  013  120  m  Movimientos Fisicos  Movimientos Fisicos  Movimientos Fisicos
y      120  230  121  s_noinst.p  l  Locaciones  Locaciones  Locaciones
y      121  120  122  s_noinst.p  p  Posiciones  Posiciones  Posiciones
y      122  121  123  s_noinst.p  t  Tipos Movimientos  Tipos Movimientos  Tipos Movimientos
y      123  122  124  s_noinst.p  f  Ubicaciones  Ubicaciones  Ubicaciones
y      124  123  125  s_noinst.p  x  Mov. Existentes  Mov. Existentes  Mov. Existentes
y      125  124  126  s_noinst.p  s  Movimientos  Movimientos  Movimientos
y      126  125  127  s_noinst.p  u  Ubicacion Tambores  Ubicacion Tambores  Ubicacion Tambores
y      127  126  128  s_noinst.p  I  Inventario  Inventario  Inventario
y      128  127  129  s_noinst.p  m  Mov. Manuales  Movimientos Manuales  Movimientos Manuales
y      129  128  230  s_noinst.p  m  Transferencias  Transferencias  Transferencias
y      230  129  120  s_noinst.p  m  Transf. Terpeno  Transf. Terpeno  Transf. Terpeno
y    013  012  140  231  c  Control Calidad  Control Calidad  Control Calidad
y      231  234  232  s_noinst.p  c  Ctrol Calidad Jugo  Ctrol Calidad Jugo  Ctrol Calidad Jugo
y      232  231  233  s_noinst.p  c  Ctrol Calidad Aceite  Ctrol Calidad Aceite  Ctrol Calidad Aceite
y      233  232  234  s_noinst.p  c  Ctrol Calidad Microb  Ctrol Calidad Microb  Ctrol Calidad Microb
y      234  233  231  s_noinst.p  c  AprobacionProtocolos  AprobacionProtocolos  AprobacionProtocolos
y    140  013  160  141  C  Contratos  Contratos  Contratos
y      141  148  142  s_noinst.p  o  Contratos  Contratos  Contratos
y      142  141  143  s_noinst.p  o  Contratos Consulta  Contratos Consulta  Contratos Consulta
y      143  142  144  s_noinst.p  t  Tipos de Plazo  Tipos de Plazo  Tipos de Plazo
y      144  143  145  s_noinst.p  n  Contactos  Contactos  Contactos
y      145  144  146  s_noinst.p  g  Gastos Ventas  Gastos Ventas  Gastos Ventas
y      146  145  147  s_noinst.p  b  Bancos  Bancos  Bancos
y      147  146  148  s_noinst.p  i  Tipos Contratos  Tipos Contratos  Tipos Contratos
y      148  147  141  s_noinst.p  i  Instrumentos Pagos  Instrumentos Pagos  Instrumentos Pagos
y    160  140  015  161  O  Aduana  Aduana  Aduana
