Cod.,Tipo Movimiento,Cod.,A Sucursal Destino,Cod.,Desde Sucursal Envio,Partida,Serial,Docum.SAP,LOTE SAP,Nro.Pesada,Nro.Remito,Fecha Oper.,Fecha,Hora,Cod.,Especie,Cod.,Variedad,Estado,Fec.Cosec.,Cod.,Productor,Cod.,Origen,Cod.,Lote,Cod.,Color,Trazabil.,RENSPA,U.P.,Certif.,GG,UE,Peso,Bdjas.,Cam.
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424964,2,4900042260,0000001248,, 0182-00000342,16/03/2016,16/03/2016,12:07,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,3,LOTE 3,2,PINTO,80A 03,23.010.0.00137/00,TU-0154-003,,SI,NO,400,20,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424968,3,4900043086,0000001310,, 0028-00005316,16/03/2016,16/03/2016,21:00,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,1,S.A. SAN MIGUEL AGICIF,17,ANGELINA,12,LOTE 3,7,VERDE OSCURO,17A 0301,23.001.9.10256/00,TU-0158-003,,SI,NO,3200,160,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424975,2,4900043088,0000001311,, 0001-00000601,16/03/2016,16/03/2016,21:00,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,100837,ALTO DEL NARANJO S.A.,2,COCHAMOLLES II,1,LOTE 1,7,VERDE OSCURO,A8N 01,23.004.9.00012/00,TU-0452-001,,NO,NO,800,40,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424979,2,4900043090,0000001312,, 0013-00007193,16/03/2016,16/03/2016,21:00,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,1,S.A. SAN MIGUEL AGICIF,7,M. VERONICA,16,LOTE 16,7,VERDE OSCURO,07E 02,23.005.0.10046/00,TU-0174-009,,SI,NO,800,40,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424967,3,4900043136,0000001337,, 0182-00000345,16/03/2016,16/03/2016,21:00,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,3,LOTE 3,1,VERDE,80A 03,23.010.0.00137/00,TU-0154-003,,SI,NO,400,20,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424998,2,4900043079,0000001306,, 0182-00000346,18/03/2016,18/03/2016,06:17,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,10,LOTE 10,8,VERDE NEGRO,80A 11,23.010.0.00137/00,TU-0154-010,,SI,NO,6400,320,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,425040,2,4900043081,0000001307,, 0182-00000351,18/03/2016,18/03/2016,06:18,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,13,LOTE 13,8,VERDE NEGRO,80A 07,23.010.0.00137/00,TU-0154-013,,SI,NO,2400,120,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,425040,3,4900043083,0000001308,, 0182-00000351,18/03/2016,18/03/2016,06:19,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,13,LOTE 13,8,VERDE NEGRO,80A 07,23.010.0.00137/00,TU-0154-013,,SI,NO,3200,160,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,425005,2,4900043084,0000001309,, 0182-00000353,18/03/2016,18/03/2016,09:00,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,9,LOTE 9,8,VERDE NEGRO,80A 05,23.010.0.00137/00,TU-0154-009,,SI,NO,4000,200,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424968,2,4900042529,0000001280,, 0028-00005316,18/03/2016,18/03/2016,09:07,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,17,ANGELINA,12,LOTE 3,8,VERDE NEGRO,17A 0301,23.001.9.10256/00,TU-0158-003,,SI,NO,4800,240,5
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,425025,3,4900044891,0000001947,, 0028-00005322,18/03/2016,18/03/2016,18:19,1,LIMON,1,EUREKA,PROCESADO,14/03/2016,1,S.A. SAN MIGUEL AGICIF,17,ANGELINA,12,LOTE 3,6,VERDE CLARO,17A 0301,23.001.9.10256/00,TU-0158-003,,SI,NO,5600,280,2
5,INGRESO,106,CAMARAS,103,LINEA COLOR PACKING GRANDE,424990,2,4900043091,0000001313,, 0182-00000348,18/03/2016,18/03/2016,21:00,1,LIMON,1,EUREKA,PROCESADO,15/03/2016,1,S.A. SAN MIGUEL AGICIF,80,LULES,9,LOTE 9,8,VERDE NEGRO,80A 05,23.010.0.00137/00,TU-0154-009,,SI,NO,800,40,5
