,,,,,,,,,
Cod.,Cod.,Cod.,Partida,Serial,Docum.SAP,LOTE SAP,Fecha,Hora,Peso
5,106,103,425201,2,4900049989,0000005855,30/03/2016,20:51,3200
5,106,103,425201,4,4900049992,0000005857,30/03/2016,20:56,1600
5,106,103,425201,3,4900049990,0000005856,30/03/2016,20:56,8000
5,106,103,425201,5,4900049993,0000005859,30/03/2016,20:57,7200
5,106,103,425197,2,4900050023,0000005868,30/03/2016,21:52,4800
5,106,103,425197,3,4900050024,0000005869,30/03/2016,21:53,9600
5,106,103,425197,5,4900050027,0000005871,30/03/2016,21:54,2400
5,106,103,425197,6,4900050028,0000005872,30/03/2016,21:54,1600
5,106,103,425197,4,4900050026,0000005870,30/03/2016,21:54,2400
5,106,103,425197,7,4900050029,0000005873,30/03/2016,21:55,4000
5,106,103,425201,6,4900050030,0000005874,30/03/2016,21:57,2400
5,106,103,425202,2,4900050141,0000005911,31/03/2016,07:34,3200
5,106,103,425202,3,4900050143,0000005912,31/03/2016,07:35,8800
5,106,103,425202,5,4900050146,0000005914,31/03/2016,07:36,5600
5,106,103,425202,4,4900050144,0000005913,31/03/2016,07:36,3200
5,106,103,425216,2,4900050148,0000005915,31/03/2016,07:37,1600
5,106,103,425216,3,4900050149,0000005916,31/03/2016,07:38,5600
5,106,103,425216,4,4900050150,0000005917,31/03/2016,07:38,1600
5,106,103,425216,5,4900050151,0000005918,31/03/2016,07:39,3200
5,106,103,425209,2,4900050190,0000005922,31/03/2016,08:11,800
5,106,103,425209,4,4900050193,0000005924,31/03/2016,08:12,4000
5,106,103,425209,3,4900050191,0000005923,31/03/2016,08:12,1600
5,106,103,425209,5,4900050195,0000005925,31/03/2016,08:13,2400
5,106,103,425209,6,4900050196,0000005926,31/03/2016,08:14,4000
5,106,103,425218,2,4900050274,0000005932,31/03/2016,08:58,2400
5,106,103,425218,3,4900050275,0000005933,31/03/2016,08:59,5600
5,106,103,425218,5,4900050278,0000005935,31/03/2016,09:00,2400
5,106,103,425218,4,4900050276,0000005934,31/03/2016,09:00,800
5,106,103,425215,2,4900050432,0000005945,31/03/2016,10:29,800
5,106,103,425215,3,4900050434,0000005946,31/03/2016,10:30,4000
5,106,103,425215,4,4900050438,0000005947,31/03/2016,10:30,6400
5,106,103,425215,5,4900050440,0000005948,31/03/2016,10:31,3200
5,106,103,425210,2,4900050447,0000005950,31/03/2016,10:32,800
5,106,103,425215,6,4900050444,0000005949,31/03/2016,10:32,3200
5,106,103,425210,3,4900050450,0000005951,31/03/2016,10:33,3200
5,106,103,425210,4,4900050452,0000005952,31/03/2016,10:34,4000
5,106,103,425210,6,4900050458,0000005954,31/03/2016,10:35,3200
5,106,103,425210,5,4900050455,0000005953,31/03/2016,10:35,2000
5,106,103,425256,2,4900050630,0000005970,31/03/2016,12:26,3200
5,106,103,425255,2,4900050634,0000005971,31/03/2016,12:29,15200
5,106,103,425256,3,4900050635,0000005972,31/03/2016,12:30,3200
5,106,103,425257,2,4900050637,0000005973,31/03/2016,12:30,13600
5,106,103,425256,4,4900050639,0000005974,31/03/2016,12:31,2400
5,106,103,425249,2,4900050677,0000005979,31/03/2016,12:58,1600
5,106,103,425249,3,4900050679,0000005980,31/03/2016,12:58,4800
5,106,103,425249,4,4900050681,0000005981,31/03/2016,12:59,1600
5,106,103,425249,6,4900050686,0000005983,31/03/2016,13:00,2400
5,106,103,425249,5,4900050684,0000005982,31/03/2016,13:00,3200
5,106,103,425242,2,4900050775,0000005985,31/03/2016,13:47,800
5,106,103,425242,3,4900050778,0000005986,31/03/2016,13:48,4800
5,106,103,425242,4,4900050782,0000005987,31/03/2016,13:50,7200
5,106,103,425242,5,4900050791,0000005988,31/03/2016,13:51,1600
